ID	allele_type
CBOT_6633	accessory
CBOT_5625	accessory
CBOT_5559	accessory
CBOT_2571	accessory
CBOT_663	accessory
CBOT_1538	accessory
CBOT_3108	accessory
CBOT_6087	accessory
CBOT_1983	accessory
CBOT_4528	accessory
CBOT_2043	accessory
CBOT_2570	accessory
CBOT_4413	accessory
CBOT_745	accessory
CBOT_4943	accessory
CBOT_574	accessory
CBOT_4913	accessory
CBOT_5988	accessory
CBOT_5987	accessory
CBOT_1843	accessory
CBOT_274	accessory
CBOT_10696	accessory
CBOT_107	accessory
CBOT_3328	accessory
CBOT_3312	accessory
CBOT_1312	accessory
CBOT_3506	accessory
CBOT_9935	accessory
CBOT_5387	accessory
CBOT_2324	accessory
CBOT_5568	accessory
CBOT_5112	accessory
CBOT_1772	accessory
CBOT_1780	accessory
CBOT_5640	accessory
CBOT_2235	accessory
CBOT_5764	accessory
CBOT_418	accessory
CBOT_10535	accessory
CBOT_6134	accessory
CBOT_1134	accessory
CBOT_3857	accessory
CBOT_6109	accessory
CBOT_1966	accessory
CBOT_2426	accessory
CBOT_8394	accessory
CBOT_2460	accessory
CBOT_3659	accessory
CBOT_2461	accessory
CBOT_5724	accessory
CBOT_1872	accessory
CBOT_5594	accessory
CBOT_133	accessory
CBOT_4344	accessory
CBOT_5355	accessory
CBOT_3778	accessory
CBOT_779	accessory
CBOT_4455	accessory
CBOT_780	accessory
CBOT_105	accessory
CBOT_2239	accessory
CBOT_680	accessory
CBOT_756	accessory
CBOT_250	accessory
CBOT_1657	accessory
CBOT_249	accessory
CBOT_1769	accessory
CBOT_248	accessory
CBOT_1637	accessory
CBOT_2006	accessory
CBOT_2000	accessory
CBOT_2008	accessory
CBOT_1996	accessory
CBOT_5388	accessory
CBOT_10515	accessory
CBOT_10042	accessory
CBOT_2071	accessory
CBOT_5365	accessory
CBOT_2298	accessory
CBOT_2306	accessory
CBOT_8261	accessory
CBOT_2304	accessory
CBOT_1684	accessory
CBOT_8129	accessory
CBOT_6054	accessory
CBOT_392	accessory
CBOT_8522	accessory
CBOT_4559	accessory
CBOT_8056	accessory
CBOT_3337	accessory
CBOT_1243	accessory
CBOT_292	accessory
CBOT_453	accessory
CBOT_2656	accessory
CBOT_2273	accessory
CBOT_5396	accessory
CBOT_1053	accessory
CBOT_6214	accessory
CBOT_3874	accessory
CBOT_3629	accessory
CBOT_6141	accessory
CBOT_1392	accessory
CBOT_2974	accessory
CBOT_2237	accessory
CBOT_168	accessory
CBOT_3746	accessory
CBOT_1398	accessory
CBOT_842	accessory
CBOT_844	accessory
CBOT_845	accessory
CBOT_2408	accessory
CBOT_3334	accessory
CBOT_1248	accessory
CBOT_222	accessory
CBOT_217	accessory
CBOT_3887	accessory
CBOT_223	accessory
CBOT_2354	accessory
CBOT_5231	accessory
CBOT_4838	accessory
CBOT_4581	accessory
CBOT_3350	accessory
CBOT_1226	accessory
CBOT_2368	accessory
CBOT_811	accessory
CBOT_4168	accessory
CBOT_10490	accessory
CBOT_2246	accessory
CBOT_1808	accessory
CBOT_5034	accessory
CBOT_4029	accessory
CBOT_8962	accessory
CBOT_6245	accessory
CBOT_1193	accessory
CBOT_5566	accessory
CBOT_2580	accessory
CBOT_3327	accessory
CBOT_1260	accessory
CBOT_5981	accessory
CBOT_2754	accessory
CBOT_283	accessory
CBOT_6446	accessory
CBOT_3867	accessory
CBOT_892	accessory
CBOT_3869	accessory
CBOT_3868	accessory
CBOT_890	accessory
CBOT_891	accessory
CBOT_2756	accessory
CBOT_1310	accessory
CBOT_9668	accessory
CBOT_253	accessory
CBOT_3333	accessory
CBOT_1251	accessory
CBOT_12141	accessory
CBOT_12142	accessory
CBOT_5004	accessory
CBOT_3286	accessory
CBOT_2313	accessory
CBOT_2314	accessory
CBOT_3905	accessory
CBOT_3689	accessory
CBOT_2455	accessory
CBOT_4915	accessory
CBOT_2144	accessory
CBOT_2427	accessory
CBOT_5459	accessory
CBOT_3422	accessory
CBOT_3013	accessory
CBOT_4931	accessory
CBOT_2042	accessory
CBOT_4924	accessory
CBOT_604	accessory
CBOT_4923	accessory
CBOT_605	accessory
CBOT_2108	accessory
CBOT_1142	accessory
CBOT_10428	accessory
CBOT_1141	accessory
CBOT_2704	accessory
CBOT_5127	accessory
CBOT_1629	accessory
CBOT_8862	accessory
CBOT_10431	accessory
CBOT_10429	accessory
CBOT_5126	accessory
CBOT_2703	accessory
CBOT_3017	accessory
CBOT_2705	accessory
CBOT_5128	accessory
CBOT_1800	accessory
CBOT_1967	accessory
CBOT_1181	accessory
CBOT_4643	accessory
CBOT_5605	accessory
CBOT_358	accessory
CBOT_4886	accessory
CBOT_475	accessory
CBOT_10047	accessory
CBOT_1994	accessory
CBOT_5024	accessory
CBOT_1365	accessory
CBOT_3301	accessory
CBOT_1329	accessory
CBOT_5487	accessory
CBOT_5644	accessory
CBOT_5881	accessory
CBOT_5844	accessory
CBOT_4735	accessory
CBOT_5720	accessory
CBOT_1771	accessory
CBOT_3040	accessory
CBOT_2562	accessory
CBOT_7271	accessory
CBOT_6762	accessory
CBOT_5386	accessory
CBOT_2336	accessory
CBOT_2334	accessory
CBOT_2335	accessory
CBOT_2338	accessory
CBOT_2466	accessory
CBOT_1211	accessory
CBOT_4726	accessory
CBOT_3573	accessory
CBOT_2476	accessory
CBOT_423	accessory
CBOT_2465	accessory
CBOT_404	accessory
CBOT_4899	accessory
CBOT_405	accessory
CBOT_8047	accessory
CBOT_1986	accessory
CBOT_8042	accessory
CBOT_5967	accessory
CBOT_1985	accessory
CBOT_8036	accessory
CBOT_1987	accessory
CBOT_1886	accessory
CBOT_4445	accessory
CBOT_767	accessory
CBOT_6273	accessory
CBOT_1342	accessory
CBOT_1842	accessory
CBOT_5600	accessory
CBOT_252	accessory
CBOT_5974	accessory
CBOT_1858	accessory
CBOT_4418	accessory
CBOT_760	accessory
CBOT_7927	accessory
CBOT_640	accessory
CBOT_9785	accessory
CBOT_4460	accessory
CBOT_785	accessory
CBOT_4461	accessory
CBOT_786	accessory
CBOT_4463	accessory
CBOT_787	accessory
CBOT_4464	accessory
CBOT_788	accessory
CBOT_4465	accessory
CBOT_789	accessory
CBOT_4466	accessory
CBOT_790	accessory
CBOT_4467	accessory
CBOT_791	accessory
CBOT_6260	accessory
CBOT_1361	accessory
CBOT_3680	accessory
CBOT_2457	accessory
CBOT_5622	accessory
CBOT_618	accessory
CBOT_1989	accessory
CBOT_5966	accessory
CBOT_1990	accessory
CBOT_3834	accessory
CBOT_5561	accessory
CBOT_2574	accessory
CBOT_766	accessory
CBOT_6085	accessory
CBOT_2952	accessory
CBOT_2941	accessory
CBOT_3872	accessory
CBOT_1184	accessory
CBOT_10568	accessory
CBOT_6097	accessory
CBOT_10332	accessory
CBOT_6094	accessory
CBOT_2282	accessory
CBOT_6101	accessory
CBOT_2021	accessory
CBOT_554	accessory
CBOT_555	accessory
CBOT_2341	accessory
CBOT_2491	accessory
CBOT_5562	accessory
CBOT_2575	accessory
CBOT_8202	accessory
CBOT_1166	accessory
CBOT_3883	accessory
CBOT_3819	accessory
CBOT_1376	accessory
CBOT_3320	accessory
CBOT_1267	accessory
CBOT_4839	accessory
CBOT_1056	accessory
CBOT_2424	accessory
CBOT_1359	accessory
CBOT_6636	accessory
CBOT_1988	accessory
CBOT_1360	accessory
CBOT_2478	accessory
CBOT_2766	accessory
CBOT_541	accessory
CBOT_92	accessory
CBOT_10420	accessory
CBOT_7106	accessory
CBOT_5740	accessory
CBOT_1867	accessory
CBOT_1868	accessory
CBOT_4112	accessory
CBOT_2385	accessory
CBOT_5075	accessory
CBOT_1343	accessory
CBOT_1961	accessory
CBOT_4048	accessory
CBOT_2421	accessory
CBOT_6111	accessory
CBOT_1962	accessory
CBOT_736	accessory
CBOT_176	accessory
CBOT_5131	accessory
CBOT_177	accessory
CBOT_5130	accessory
CBOT_4414	accessory
CBOT_746	accessory
CBOT_748	accessory
CBOT_432	accessory
CBOT_5021	accessory
CBOT_2727	accessory
CBOT_5020	accessory
CBOT_2728	accessory
CBOT_7262	accessory
CBOT_6286	accessory
CBOT_2748	accessory
CBOT_2747	accessory
CBOT_2746	accessory
CBOT_2745	accessory
CBOT_2744	accessory
CBOT_2743	accessory
CBOT_2742	accessory
CBOT_2741	accessory
CBOT_10474	accessory
CBOT_658	accessory
CBOT_1969	accessory
