ID	allele_type
CRONO_1	core
CRONO_2	core
CRONO_3	core
CRONO_4	core
CRONO_5	core
CRONO_6	core
CRONO_7	core
CRONO_8	core
CRONO_9	core
CRONO_10	core
CRONO_11	core
CRONO_12	core
CRONO_13	core
CRONO_14	core
CRONO_15	core
CRONO_16	core
CRONO_17	core
CRONO_18	core
CRONO_19	core
CRONO_20	core
CRONO_21	core
CRONO_22	core
CRONO_23	core
CRONO_24	core
CRONO_25	core
CRONO_26	core
CRONO_27	core
CRONO_28	core
CRONO_29	core
CRONO_30	core
CRONO_31	core
CRONO_32	core
CRONO_33	core
CRONO_34	core
CRONO_35	core
CRONO_36	core
CRONO_37	core
CRONO_38	core
CRONO_39	core
CRONO_40	core
CRONO_41	core
CRONO_42	core
CRONO_43	core
CRONO_44	core
CRONO_45	core
CRONO_46	core
CRONO_47	core
CRONO_48	core
CRONO_49	core
CRONO_50	core
CRONO_51	core
CRONO_52	core
CRONO_53	core
CRONO_54	core
CRONO_55	core
CRONO_56	core
CRONO_57	core
CRONO_58	core
CRONO_59	core
CRONO_60	core
CRONO_61	core
CRONO_62	core
CRONO_63	core
CRONO_64	core
CRONO_65	core
CRONO_66	core
CRONO_67	core
CRONO_68	core
CRONO_69	core
CRONO_70	core
CRONO_71	core
CRONO_72	core
CRONO_73	core
CRONO_74	core
CRONO_75	core
CRONO_76	core
CRONO_77	core
CRONO_78	core
CRONO_79	core
CRONO_80	core
CRONO_81	core
CRONO_82	core
CRONO_83	core
CRONO_84	core
CRONO_85	core
CRONO_86	core
CRONO_87	core
CRONO_88	core
CRONO_89	core
CRONO_90	core
CRONO_91	core
CRONO_92	core
CRONO_93	core
CRONO_94	core
CRONO_95	core
CRONO_96	core
CRONO_97	core
CRONO_98	core
CRONO_99	core
CRONO_100	core
CRONO_101	core
CRONO_102	core
CRONO_103	core
CRONO_104	core
CRONO_105	core
CRONO_106	core
CRONO_107	core
CRONO_108	core
CRONO_109	core
CRONO_110	core
CRONO_111	core
CRONO_112	core
CRONO_113	core
CRONO_114	core
CRONO_115	core
CRONO_116	core
CRONO_117	core
CRONO_118	core
CRONO_119	core
CRONO_120	core
CRONO_121	core
CRONO_122	core
CRONO_123	core
CRONO_124	core
CRONO_125	core
CRONO_126	core
CRONO_127	core
CRONO_128	core
CRONO_129	core
CRONO_130	core
CRONO_131	core
CRONO_132	core
CRONO_133	core
CRONO_134	core
CRONO_135	core
CRONO_136	core
CRONO_137	core
CRONO_138	core
CRONO_139	core
CRONO_140	core
CRONO_141	core
CRONO_142	core
CRONO_143	core
CRONO_144	core
CRONO_145	core
CRONO_146	core
CRONO_147	core
CRONO_148	core
CRONO_149	core
CRONO_150	core
CRONO_151	core
CRONO_152	core
CRONO_153	core
CRONO_154	core
CRONO_155	core
CRONO_156	core
CRONO_157	core
CRONO_158	core
CRONO_159	core
CRONO_160	core
CRONO_161	core
CRONO_162	core
CRONO_163	core
CRONO_164	core
CRONO_165	core
CRONO_166	core
CRONO_167	core
CRONO_168	core
CRONO_169	core
CRONO_170	core
CRONO_171	core
CRONO_172	core
CRONO_173	core
CRONO_174	core
CRONO_175	core
CRONO_176	core
CRONO_177	core
CRONO_178	core
CRONO_179	core
CRONO_180	core
CRONO_181	core
CRONO_182	core
CRONO_183	core
CRONO_184	core
CRONO_185	core
CRONO_186	core
CRONO_187	core
CRONO_188	core
CRONO_189	core
CRONO_190	core
CRONO_191	core
CRONO_192	core
CRONO_193	core
CRONO_194	core
CRONO_195	core
CRONO_196	core
CRONO_197	core
CRONO_198	core
CRONO_199	core
CRONO_200	core
CRONO_201	core
CRONO_202	core
CRONO_203	core
CRONO_204	core
CRONO_205	core
CRONO_206	core
CRONO_207	core
CRONO_208	core
CRONO_209	core
CRONO_210	core
CRONO_211	core
CRONO_212	core
CRONO_213	core
CRONO_214	core
CRONO_215	core
CRONO_216	core
CRONO_217	core
CRONO_218	core
CRONO_219	core
CRONO_220	core
CRONO_221	core
CRONO_222	core
CRONO_223	core
CRONO_224	core
CRONO_225	core
CRONO_226	core
CRONO_227	core
CRONO_228	core
CRONO_229	core
CRONO_230	core
CRONO_231	core
CRONO_232	core
CRONO_233	core
CRONO_234	core
CRONO_235	core
CRONO_236	core
CRONO_237	core
CRONO_238	core
CRONO_239	core
CRONO_240	core
CRONO_241	core
CRONO_242	core
CRONO_243	core
CRONO_244	core
CRONO_245	core
CRONO_246	core
CRONO_247	core
CRONO_248	core
CRONO_249	core
CRONO_250	core
CRONO_251	core
CRONO_252	core
CRONO_253	core
CRONO_254	core
CRONO_255	core
CRONO_256	core
CRONO_257	core
CRONO_258	core
CRONO_259	core
CRONO_260	core
CRONO_261	core
CRONO_262	core
CRONO_263	core
CRONO_264	core
CRONO_265	core
CRONO_266	core
CRONO_267	core
CRONO_268	core
CRONO_269	core
CRONO_270	core
CRONO_271	core
CRONO_272	core
CRONO_273	core
CRONO_274	core
CRONO_275	core
CRONO_276	core
CRONO_277	core
CRONO_278	core
CRONO_279	core
CRONO_280	core
CRONO_281	core
CRONO_282	core
CRONO_283	core
CRONO_284	core
CRONO_285	core
CRONO_286	core
CRONO_287	core
CRONO_288	core
CRONO_289	core
CRONO_290	core
CRONO_291	core
CRONO_292	core
CRONO_293	core
CRONO_294	core
CRONO_295	core
CRONO_296	core
CRONO_297	core
CRONO_298	core
CRONO_299	core
CRONO_300	core
CRONO_301	core
CRONO_302	core
CRONO_303	core
CRONO_304	core
CRONO_305	core
CRONO_306	core
CRONO_307	core
CRONO_308	core
CRONO_309	core
CRONO_310	core
CRONO_311	core
CRONO_312	core
CRONO_313	core
CRONO_314	core
CRONO_315	core
CRONO_316	core
CRONO_317	core
CRONO_318	core
CRONO_319	core
CRONO_320	core
CRONO_321	core
CRONO_322	core
CRONO_323	core
CRONO_324	core
CRONO_325	core
CRONO_326	core
CRONO_327	core
CRONO_328	core
CRONO_329	core
CRONO_330	core
CRONO_331	core
CRONO_332	core
CRONO_333	core
CRONO_334	core
CRONO_335	core
CRONO_336	core
CRONO_337	core
CRONO_338	core
CRONO_339	core
CRONO_340	core
CRONO_341	core
CRONO_342	core
CRONO_343	core
CRONO_344	core
CRONO_345	core
CRONO_346	core
CRONO_347	core
CRONO_348	core
CRONO_349	core
CRONO_350	core
CRONO_351	core
CRONO_352	core
CRONO_353	core
CRONO_354	core
CRONO_355	core
CRONO_356	core
CRONO_357	core
CRONO_358	core
CRONO_359	core
CRONO_360	core
CRONO_361	core
CRONO_362	core
CRONO_363	core
CRONO_364	core
CRONO_365	core
CRONO_366	core
CRONO_367	core
CRONO_368	core
CRONO_369	core
CRONO_370	core
CRONO_371	core
CRONO_372	core
CRONO_373	core
CRONO_374	core
CRONO_375	core
CRONO_376	core
CRONO_377	core
CRONO_378	core
CRONO_379	core
CRONO_380	core
CRONO_381	core
CRONO_382	core
CRONO_383	core
CRONO_384	core
CRONO_385	core
CRONO_386	core
CRONO_387	core
CRONO_388	core
CRONO_389	core
CRONO_390	core
CRONO_391	core
CRONO_392	core
CRONO_393	core
CRONO_394	core
CRONO_395	core
CRONO_396	core
CRONO_397	core
CRONO_398	core
CRONO_399	core
CRONO_400	core
CRONO_401	core
CRONO_402	core
CRONO_403	core
CRONO_404	core
CRONO_405	core
CRONO_406	core
CRONO_407	core
CRONO_408	core
CRONO_409	core
CRONO_410	core
CRONO_411	core
CRONO_412	core
CRONO_413	core
CRONO_414	core
CRONO_415	core
CRONO_416	core
CRONO_417	core
CRONO_418	core
CRONO_419	core
CRONO_420	core
CRONO_421	core
CRONO_422	core
CRONO_423	core
CRONO_424	core
CRONO_425	core
CRONO_426	core
CRONO_427	core
CRONO_428	core
CRONO_429	core
CRONO_430	core
CRONO_431	core
CRONO_432	core
CRONO_433	core
CRONO_434	core
CRONO_435	core
CRONO_436	core
CRONO_437	core
CRONO_438	core
CRONO_439	core
CRONO_440	core
CRONO_441	core
CRONO_442	core
CRONO_443	core
CRONO_444	core
CRONO_445	core
CRONO_446	core
CRONO_447	core
CRONO_448	core
CRONO_449	core
CRONO_450	core
CRONO_451	core
CRONO_452	core
CRONO_453	core
CRONO_454	core
CRONO_455	core
CRONO_456	core
CRONO_457	core
CRONO_458	core
CRONO_459	core
CRONO_460	core
CRONO_461	core
CRONO_462	core
CRONO_463	core
CRONO_464	core
CRONO_465	core
CRONO_466	core
CRONO_467	core
CRONO_468	core
CRONO_469	core
CRONO_470	core
CRONO_471	core
CRONO_472	core
CRONO_473	core
CRONO_474	core
CRONO_475	core
CRONO_476	core
CRONO_477	core
CRONO_478	core
CRONO_479	core
CRONO_480	core
CRONO_481	core
CRONO_482	core
CRONO_483	core
CRONO_484	core
CRONO_485	core
CRONO_486	core
CRONO_487	core
CRONO_488	core
CRONO_489	core
CRONO_490	core
CRONO_491	core
CRONO_492	core
CRONO_493	core
CRONO_494	core
CRONO_495	core
CRONO_496	core
CRONO_497	core
CRONO_498	core
CRONO_499	core
CRONO_500	core
CRONO_501	core
CRONO_502	core
CRONO_503	core
CRONO_504	core
CRONO_505	core
CRONO_506	core
CRONO_507	core
CRONO_508	core
CRONO_509	core
CRONO_510	core
CRONO_511	core
CRONO_512	core
CRONO_513	core
CRONO_514	core
CRONO_515	core
CRONO_516	core
CRONO_517	core
CRONO_518	core
CRONO_519	core
CRONO_520	core
CRONO_521	core
CRONO_522	core
CRONO_523	core
CRONO_524	core
CRONO_525	core
CRONO_526	core
CRONO_527	core
CRONO_528	core
CRONO_529	core
CRONO_530	core
CRONO_531	core
CRONO_532	core
CRONO_533	core
CRONO_534	core
CRONO_535	core
CRONO_536	core
CRONO_537	core
CRONO_538	core
CRONO_539	core
CRONO_540	core
CRONO_541	core
CRONO_542	core
CRONO_543	core
CRONO_544	core
CRONO_545	core
CRONO_546	core
CRONO_547	core
CRONO_548	core
CRONO_549	core
CRONO_550	core
CRONO_551	core
CRONO_552	core
CRONO_553	core
CRONO_554	core
CRONO_555	core
CRONO_556	core
CRONO_557	core
CRONO_558	core
CRONO_559	core
CRONO_560	core
CRONO_561	core
CRONO_562	core
CRONO_563	core
CRONO_564	core
CRONO_565	core
CRONO_566	core
CRONO_567	core
CRONO_568	core
CRONO_569	core
CRONO_570	core
CRONO_571	core
CRONO_572	core
CRONO_573	core
CRONO_574	core
CRONO_575	core
CRONO_576	core
CRONO_577	core
CRONO_578	core
CRONO_579	core
CRONO_580	core
CRONO_581	core
CRONO_582	core
CRONO_583	core
CRONO_584	core
CRONO_585	core
CRONO_586	core
CRONO_587	core
CRONO_588	core
CRONO_589	core
CRONO_590	core
CRONO_591	core
CRONO_592	core
CRONO_593	core
CRONO_594	core
CRONO_595	core
CRONO_596	core
CRONO_597	core
CRONO_598	core
CRONO_599	core
CRONO_600	core
CRONO_601	core
CRONO_602	core
CRONO_603	core
CRONO_604	core
CRONO_605	core
CRONO_606	core
CRONO_607	core
CRONO_608	core
CRONO_609	core
CRONO_610	core
CRONO_611	core
CRONO_612	core
CRONO_613	core
CRONO_614	core
CRONO_615	core
CRONO_616	core
CRONO_617	core
CRONO_618	core
CRONO_619	core
CRONO_620	core
CRONO_621	core
CRONO_622	core
CRONO_623	core
CRONO_624	core
CRONO_625	core
CRONO_626	core
CRONO_627	core
CRONO_628	core
CRONO_629	core
CRONO_630	core
CRONO_631	core
CRONO_632	core
CRONO_633	core
CRONO_634	core
CRONO_635	core
CRONO_636	core
CRONO_637	core
CRONO_638	core
CRONO_639	core
CRONO_640	core
CRONO_641	core
CRONO_642	core
CRONO_643	core
CRONO_644	core
CRONO_645	core
CRONO_646	core
CRONO_647	core
CRONO_648	core
CRONO_649	core
CRONO_650	core
CRONO_651	core
CRONO_652	core
CRONO_653	core
CRONO_654	core
CRONO_655	core
CRONO_656	core
CRONO_657	core
CRONO_658	core
CRONO_659	core
CRONO_660	core
CRONO_661	core
CRONO_662	core
CRONO_663	core
CRONO_664	core
CRONO_665	core
CRONO_666	core
CRONO_667	core
CRONO_668	core
CRONO_669	core
CRONO_670	core
CRONO_671	core
CRONO_672	core
CRONO_673	core
CRONO_674	core
CRONO_675	core
CRONO_676	core
CRONO_677	core
CRONO_678	core
CRONO_679	core
CRONO_680	core
CRONO_681	core
CRONO_682	core
CRONO_683	core
CRONO_684	core
CRONO_685	core
CRONO_686	core
CRONO_687	core
CRONO_688	core
CRONO_689	core
CRONO_690	core
CRONO_691	core
CRONO_692	core
CRONO_693	core
CRONO_694	core
CRONO_695	core
CRONO_696	core
CRONO_697	core
CRONO_698	core
CRONO_699	core
CRONO_700	core
CRONO_701	core
CRONO_702	core
CRONO_703	core
CRONO_704	core
CRONO_705	core
CRONO_706	core
CRONO_707	core
CRONO_708	core
CRONO_709	core
CRONO_710	core
CRONO_711	core
CRONO_712	core
CRONO_713	core
CRONO_714	core
CRONO_715	core
CRONO_716	core
CRONO_717	core
CRONO_718	core
CRONO_719	core
CRONO_720	core
CRONO_721	core
CRONO_722	core
CRONO_723	core
CRONO_724	core
CRONO_725	core
CRONO_726	core
CRONO_727	core
CRONO_728	core
CRONO_729	core
CRONO_730	core
CRONO_731	core
CRONO_732	core
CRONO_733	core
CRONO_734	core
CRONO_735	core
CRONO_736	core
CRONO_737	core
CRONO_738	core
CRONO_739	core
CRONO_740	core
CRONO_741	core
CRONO_742	core
CRONO_743	core
CRONO_744	core
CRONO_745	core
CRONO_746	core
CRONO_747	core
CRONO_748	core
CRONO_749	core
CRONO_750	core
CRONO_751	core
CRONO_752	core
CRONO_753	core
CRONO_754	core
CRONO_755	core
CRONO_756	core
CRONO_757	core
CRONO_758	core
CRONO_759	core
CRONO_760	core
CRONO_761	core
CRONO_762	core
CRONO_763	core
CRONO_764	core
CRONO_765	core
CRONO_766	core
CRONO_767	core
CRONO_768	core
CRONO_769	core
CRONO_770	core
CRONO_771	core
CRONO_772	core
CRONO_773	core
CRONO_774	core
CRONO_775	core
CRONO_776	core
CRONO_777	core
CRONO_778	core
CRONO_779	core
CRONO_780	core
CRONO_781	core
CRONO_782	core
CRONO_783	core
CRONO_784	core
CRONO_785	core
CRONO_786	core
CRONO_787	core
CRONO_788	core
CRONO_789	core
CRONO_790	core
CRONO_791	core
CRONO_792	core
CRONO_793	core
CRONO_794	core
CRONO_795	core
CRONO_796	core
CRONO_797	core
CRONO_798	core
CRONO_799	core
CRONO_800	core
CRONO_801	core
CRONO_802	core
CRONO_803	core
CRONO_804	core
CRONO_805	core
CRONO_806	core
CRONO_807	core
CRONO_808	core
CRONO_809	core
CRONO_810	core
CRONO_811	core
CRONO_812	core
CRONO_813	core
CRONO_814	core
CRONO_815	core
CRONO_816	core
CRONO_817	core
CRONO_818	core
CRONO_819	core
CRONO_820	core
CRONO_821	core
CRONO_822	core
CRONO_823	core
CRONO_824	core
CRONO_825	core
CRONO_826	core
CRONO_827	core
CRONO_828	core
CRONO_829	core
CRONO_830	core
CRONO_831	core
CRONO_832	core
CRONO_833	core
CRONO_834	core
CRONO_835	core
CRONO_836	core
CRONO_837	core
CRONO_838	core
CRONO_839	core
CRONO_840	core
CRONO_841	core
CRONO_842	core
CRONO_843	core
CRONO_844	core
CRONO_845	core
CRONO_846	core
CRONO_847	core
CRONO_848	core
CRONO_849	core
CRONO_850	core
CRONO_851	core
CRONO_852	core
CRONO_853	core
CRONO_854	core
CRONO_855	core
CRONO_856	core
CRONO_857	core
CRONO_858	core
CRONO_859	core
CRONO_860	core
CRONO_861	core
CRONO_862	core
CRONO_863	core
CRONO_864	core
CRONO_865	core
CRONO_866	core
CRONO_867	core
CRONO_868	core
CRONO_869	core
CRONO_870	core
CRONO_871	core
CRONO_872	core
CRONO_873	core
CRONO_874	core
CRONO_875	core
CRONO_876	core
CRONO_877	core
CRONO_878	core
CRONO_879	core
CRONO_880	core
CRONO_881	core
CRONO_882	core
CRONO_883	core
CRONO_884	core
CRONO_885	core
CRONO_886	core
CRONO_887	core
CRONO_888	core
CRONO_889	core
CRONO_890	core
CRONO_891	core
CRONO_892	core
CRONO_893	core
CRONO_894	core
CRONO_895	core
CRONO_896	core
CRONO_897	core
CRONO_898	core
CRONO_899	core
CRONO_900	core
CRONO_901	core
CRONO_902	core
CRONO_903	core
CRONO_904	core
CRONO_905	core
CRONO_906	core
CRONO_907	core
CRONO_908	core
CRONO_909	core
CRONO_910	core
CRONO_911	core
CRONO_912	core
CRONO_913	core
CRONO_914	core
CRONO_915	core
CRONO_916	core
CRONO_917	core
CRONO_918	core
CRONO_919	core
CRONO_920	core
CRONO_921	core
CRONO_922	core
CRONO_923	core
CRONO_924	core
CRONO_925	core
CRONO_926	core
CRONO_927	core
CRONO_928	core
CRONO_929	core
CRONO_930	core
CRONO_931	core
CRONO_932	core
CRONO_933	core
CRONO_934	core
CRONO_935	core
CRONO_936	core
CRONO_937	core
CRONO_938	core
CRONO_939	core
CRONO_940	core
CRONO_941	core
CRONO_942	core
CRONO_943	core
CRONO_944	core
CRONO_945	core
CRONO_946	core
CRONO_947	core
CRONO_948	core
CRONO_949	core
CRONO_950	core
CRONO_951	core
CRONO_952	core
CRONO_953	core
CRONO_954	core
CRONO_955	core
CRONO_956	core
CRONO_957	core
CRONO_958	core
CRONO_959	core
CRONO_960	core
CRONO_961	core
CRONO_962	core
CRONO_963	core
CRONO_964	core
CRONO_965	core
CRONO_966	core
CRONO_967	core
CRONO_968	core
CRONO_969	core
CRONO_970	core
CRONO_971	core
CRONO_972	core
CRONO_973	core
CRONO_974	core
CRONO_975	core
CRONO_976	core
CRONO_977	core
CRONO_978	core
CRONO_979	core
CRONO_980	core
CRONO_981	core
CRONO_982	core
CRONO_983	core
CRONO_984	core
CRONO_985	core
CRONO_986	core
CRONO_987	core
CRONO_988	core
CRONO_989	core
CRONO_990	core
CRONO_991	core
CRONO_992	core
CRONO_993	core
CRONO_994	core
CRONO_995	core
CRONO_996	core
CRONO_997	core
CRONO_998	core
CRONO_999	core
CRONO_1000	core
CRONO_1001	core
CRONO_1002	core
CRONO_1003	core
CRONO_1004	core
CRONO_1005	core
CRONO_1006	core
CRONO_1007	core
