ID	allele_type
LMO_233	core
LMO_234	core
LMO_236	core
LMO_237	core
LMO_238	core
LMO_240	core
LMO_241	core
LMO_242	core
LMO_243	core
LMO_246	core
LMO_247	core
LMO_249	core
LMO_250	core
LMO_251	core
LMO_252	core
LMO_253	core
LMO_254	core
LMO_255	core
LMO_256	core
LMO_257	core
LMO_258	core
LMO_260	core
LMO_261	core
LMO_262	core
LMO_264	core
LMO_265	core
LMO_266	core
LMO_273	core
LMO_274	core
LMO_275	core
LMO_277	core
LMO_278	core
LMO_279	core
LMO_280	core
LMO_283	core
LMO_284	core
LMO_285	core
LMO_286	core
LMO_287	core
LMO_288	core
LMO_290	core
LMO_291	core
LMO_314	core
LMO_315	core
LMO_318	core
LMO_319	core
LMO_320	core
LMO_321	core
LMO_322	core
LMO_323	core
LMO_326	core
LMO_327	core
LMO_328	core
LMO_329	core
LMO_330	core
LMO_331	core
LMO_332	core
LMO_333	core
LMO_334	core
LMO_335	core
LMO_341	core
LMO_342	core
LMO_343	core
LMO_344	core
LMO_345	core
LMO_346	core
LMO_347	core
LMO_359	core
LMO_361	core
LMO_362	core
LMO_363	core
LMO_364	core
LMO_365	core
LMO_366	core
LMO_367	core
LMO_368	core
LMO_383	core
LMO_384	core
LMO_385	core
LMO_386	core
LMO_387	core
LMO_388	core
LMO_391	core
LMO_392	core
LMO_393	core
LMO_394	core
LMO_395	core
LMO_396	core
LMO_397	core
LMO_398	core
LMO_399	core
LMO_400	core
LMO_404	core
LMO_405	core
LMO_413	core
LMO_414	core
LMO_415	core
LMO_416	core
LMO_417	core
LMO_418	core
LMO_419	core
LMO_420	core
LMO_421	core
LMO_424	core
LMO_425	core
LMO_428	core
LMO_429	core
LMO_431	core
LMO_433	core
LMO_434	core
LMO_437	core
LMO_438	core
LMO_439	core
LMO_441	core
LMO_442	core
LMO_443	core
LMO_446	core
LMO_447	core
LMO_448	core
LMO_449	core
LMO_451	core
LMO_452	core
LMO_453	core
LMO_454	core
LMO_455	core
LMO_456	core
LMO_457	core
LMO_458	core
LMO_459	core
LMO_461	core
LMO_462	core
LMO_476	core
LMO_477	core
LMO_482	core
LMO_484	core
LMO_485	core
LMO_486	core
LMO_492	core
LMO_494	core
LMO_496	core
LMO_497	core
LMO_498	core
LMO_500	core
LMO_502	core
LMO_504	core
LMO_506	core
LMO_507	core
LMO_508	core
LMO_509	core
LMO_510	core
LMO_511	core
LMO_512	core
LMO_513	core
LMO_514	core
LMO_515	core
LMO_516	core
LMO_517	core
LMO_518	core
LMO_519	core
LMO_522	core
LMO_523	core
LMO_525	core
LMO_526	core
LMO_527	core
LMO_531	core
LMO_539	core
LMO_541	core
LMO_542	core
LMO_543	core
LMO_546	core
LMO_566	core
LMO_568	core
LMO_569	core
LMO_570	core
LMO_571	core
LMO_572	core
LMO_573	core
LMO_574	core
LMO_575	core
LMO_576	core
LMO_577	core
LMO_578	core
LMO_579	core
LMO_592	core
LMO_593	core
LMO_594	core
LMO_595	core
LMO_596	core
LMO_598	core
LMO_599	core
LMO_607	core
LMO_609	core
LMO_610	core
LMO_611	core
LMO_612	core
LMO_613	core
LMO_614	core
LMO_615	core
LMO_616	core
LMO_617	core
LMO_618	core
LMO_620	core
LMO_621	core
LMO_625	core
LMO_626	core
LMO_627	core
LMO_628	core
LMO_629	core
LMO_630	core
LMO_631	core
LMO_632	core
LMO_636	core
LMO_639	core
LMO_641	core
LMO_647	core
LMO_652	core
LMO_653	core
LMO_654	core
LMO_655	core
LMO_660	core
LMO_665	core
LMO_666	core
LMO_672	core
LMO_673	core
LMO_675	core
LMO_676	core
LMO_677	core
LMO_678	core
LMO_679	core
LMO_680	core
LMO_681	core
LMO_702	core
LMO_703	core
LMO_704	core
LMO_705	core
LMO_706	core
LMO_707	core
LMO_709	core
LMO_710	core
LMO_711	core
LMO_712	core
LMO_713	core
LMO_716	core
LMO_731	core
LMO_732	core
LMO_734	core
LMO_735	core
LMO_737	core
LMO_738	core
LMO_739	core
LMO_740	core
LMO_742	core
LMO_743	core
LMO_744	core
LMO_745	core
LMO_749	core
LMO_750	core
LMO_751	core
LMO_752	core
LMO_753	core
LMO_754	core
LMO_755	core
LMO_756	core
LMO_757	core
LMO_758	core
LMO_759	core
LMO_760	core
LMO_761	core
LMO_762	core
LMO_764	core
LMO_765	core
LMO_766	core
LMO_767	core
LMO_768	core
LMO_769	core
LMO_775	core
LMO_776	core
LMO_777	core
LMO_778	core
LMO_780	core
LMO_781	core
LMO_782	core
LMO_785	core
LMO_786	core
LMO_787	core
LMO_788	core
LMO_789	core
LMO_790	core
LMO_791	core
LMO_792	core
LMO_793	core
LMO_794	core
LMO_795	core
LMO_796	core
LMO_797	core
LMO_799	core
LMO_800	core
LMO_801	core
LMO_802	core
LMO_805	core
LMO_806	core
LMO_807	core
LMO_809	core
LMO_811	core
LMO_812	core
LMO_813	core
LMO_814	core
LMO_815	core
LMO_816	core
LMO_817	core
LMO_818	core
LMO_819	core
LMO_824	core
LMO_825	core
LMO_826	core
LMO_827	core
LMO_830	core
LMO_831	core
LMO_832	core
LMO_833	core
LMO_834	core
LMO_835	core
LMO_837	core
LMO_838	core
LMO_839	core
LMO_841	core
LMO_842	core
LMO_843	core
LMO_844	core
LMO_845	core
LMO_846	core
LMO_847	core
LMO_848	core
LMO_850	core
LMO_857	core
LMO_858	core
LMO_859	core
LMO_861	core
LMO_862	core
LMO_863	core
LMO_864	core
LMO_865	core
LMO_866	core
LMO_868	core
LMO_869	core
LMO_870	core
LMO_871	core
LMO_872	core
LMO_873	core
LMO_874	core
LMO_876	core
LMO_877	core
LMO_878	core
LMO_879	core
LMO_881	core
LMO_883	core
LMO_884	core
LMO_885	core
LMO_886	core
LMO_887	core
LMO_888	core
LMO_889	core
LMO_890	core
LMO_891	core
LMO_892	core
LMO_894	core
LMO_895	core
LMO_897	core
LMO_898	core
LMO_899	core
LMO_900	core
LMO_902	core
LMO_903	core
LMO_904	core
LMO_905	core
LMO_906	core
LMO_907	core
LMO_908	core
LMO_909	core
LMO_910	core
LMO_911	core
LMO_912	core
LMO_913	core
LMO_914	core
LMO_915	core
LMO_916	core
LMO_917	core
LMO_918	core
LMO_919	core
LMO_920	core
LMO_921	core
LMO_922	core
LMO_923	core
LMO_925	core
LMO_926	core
LMO_927	core
LMO_928	core
LMO_929	core
LMO_930	core
LMO_931	core
LMO_932	core
LMO_933	core
LMO_934	core
LMO_935	core
LMO_936	core
LMO_937	core
LMO_938	core
LMO_939	core
LMO_940	core
LMO_941	core
LMO_942	core
LMO_943	core
LMO_944	core
LMO_946	core
LMO_949	core
LMO_951	core
LMO_954	core
LMO_963	core
LMO_965	core
LMO_967	core
LMO_977	core
LMO_978	core
LMO_979	core
LMO_980	core
LMO_982	core
LMO_984	core
LMO_985	core
LMO_986	core
LMO_994	core
LMO_995	core
LMO_996	core
LMO_997	core
LMO_998	core
LMO_999	core
LMO_1001	core
LMO_1003	core
LMO_1004	core
LMO_1009	core
LMO_1010	core
LMO_1012	core
LMO_1013	core
LMO_1015	core
LMO_1016	core
