ID	allele_type
SALM_12272	core
SALM_13534	core
SALM_13975	core
SALM_14202	core
SALM_14531	core
SALM_14541	core
SALM_14543	core
SALM_14562	core
SALM_14564	core
SALM_14589	core
SALM_14590	core
SALM_14592	core
SALM_14593	core
SALM_14598	core
SALM_14673	core
SALM_14674	core
SALM_14675	core
SALM_14676	core
SALM_14677	core
SALM_14678	core
SALM_14679	core
SALM_14680	core
SALM_14681	core
SALM_14682	core
SALM_14683	core
SALM_14684	core
SALM_14685	core
SALM_14686	core
SALM_14687	core
SALM_14688	core
SALM_14689	core
SALM_14690	core
SALM_14692	core
SALM_14708	core
SALM_14711	core
SALM_14715	core
SALM_14716	core
SALM_14717	core
SALM_14718	core
SALM_14719	core
SALM_14720	core
SALM_14721	core
SALM_14733	core
SALM_14734	core
SALM_14736	core
SALM_14738	core
SALM_14739	core
SALM_14740	core
SALM_14741	core
SALM_14742	core
SALM_14744	core
SALM_14745	core
SALM_14746	core
SALM_14748	core
SALM_14752	core
SALM_14753	core
SALM_14754	core
SALM_14755	core
SALM_14756	core
SALM_14757	core
SALM_14758	core
SALM_14759	core
SALM_14760	core
SALM_14761	core
SALM_14762	core
SALM_14763	core
SALM_14764	core
SALM_14768	core
SALM_14769	core
SALM_14770	core
SALM_14771	core
SALM_14772	core
SALM_14774	core
SALM_14775	core
SALM_14776	core
SALM_14777	core
SALM_14778	core
SALM_14779	core
SALM_14780	core
SALM_14781	core
SALM_14782	core
SALM_14783	core
SALM_14784	core
SALM_14785	core
SALM_14786	core
SALM_14787	core
SALM_14788	core
SALM_14789	core
SALM_14791	core
SALM_14792	core
SALM_14793	core
SALM_14794	core
SALM_14795	core
SALM_14796	core
SALM_14797	core
SALM_14798	core
SALM_14799	core
SALM_14800	core
SALM_14801	core
SALM_14802	core
SALM_14803	core
SALM_14804	core
SALM_14805	core
SALM_14806	core
SALM_14807	core
SALM_14808	core
SALM_14809	core
SALM_14810	core
SALM_14811	core
SALM_14812	core
SALM_14813	core
SALM_14814	core
SALM_14815	core
SALM_14816	core
SALM_14817	core
SALM_14819	core
SALM_14820	core
SALM_14821	core
SALM_14822	core
SALM_14823	core
SALM_14824	core
SALM_14825	core
SALM_14827	core
SALM_14832	core
SALM_14833	core
SALM_14834	core
SALM_14835	core
SALM_14836	core
SALM_14837	core
SALM_14838	core
SALM_14839	core
SALM_14840	core
SALM_14845	core
SALM_14846	core
SALM_14847	core
SALM_14849	core
SALM_14850	core
SALM_14851	core
SALM_14852	core
SALM_14853	core
SALM_14854	core
SALM_14855	core
SALM_14856	core
SALM_14857	core
SALM_14858	core
SALM_14859	core
SALM_14860	core
SALM_14869	core
SALM_14870	core
SALM_14871	core
SALM_14873	core
