ID	allele_type
EC_1	accessory
EC_2	accessory
EC_3	accessory
EC_4	accessory
EC_5	accessory
EC_6	accessory
EC_7	accessory
EC_8	accessory
EC_9	accessory
EC_10	accessory
EC_11	accessory
EC_12	accessory
EC_13	accessory
EC_14	accessory
EC_15	accessory
EC_16	accessory
EC_17	accessory
EC_18	accessory
EC_19	accessory
EC_20	accessory
EC_21	accessory
EC_22	accessory
EC_23	accessory
EC_24	accessory
EC_25	accessory
EC_26	accessory
EC_27	accessory
EC_28	accessory
EC_29	accessory
EC_30	accessory
EC_31	accessory
EC_32	accessory
EC_33	accessory
EC_34	accessory
EC_35	accessory
EC_36	accessory
EC_37	accessory
EC_38	accessory
EC_39	accessory
EC_40	accessory
EC_41	accessory
EC_42	accessory
EC_43	accessory
EC_44	accessory
EC_45	accessory
EC_46	accessory
EC_47	accessory
EC_48	accessory
EC_49	accessory
EC_50	accessory
EC_51	accessory
EC_52	accessory
EC_53	accessory
EC_54	accessory
EC_55	accessory
EC_56	accessory
EC_57	accessory
EC_58	accessory
EC_59	accessory
EC_60	accessory
EC_61	accessory
EC_62	accessory
EC_63	accessory
EC_64	accessory
EC_65	accessory
EC_66	accessory
EC_67	accessory
EC_68	accessory
EC_69	accessory
EC_70	accessory
EC_71	accessory
EC_72	accessory
EC_73	accessory
EC_74	accessory
EC_75	accessory
EC_76	accessory
EC_77	accessory
EC_78	accessory
EC_79	accessory
EC_80	accessory
EC_81	accessory
EC_82	accessory
EC_83	accessory
EC_84	accessory
EC_85	accessory
EC_86	accessory
EC_87	accessory
EC_88	accessory
EC_89	accessory
EC_90	accessory
EC_91	accessory
EC_92	accessory
EC_93	accessory
EC_94	accessory
EC_95	accessory
EC_96	accessory
EC_97	accessory
EC_98	accessory
EC_99	accessory
EC_100	accessory
EC_101	accessory
EC_102	accessory
EC_103	accessory
EC_104	accessory
EC_105	accessory
EC_106	accessory
EC_107	accessory
EC_108	accessory
EC_109	accessory
EC_110	accessory
EC_111	accessory
EC_112	accessory
EC_113	accessory
EC_114	accessory
EC_115	accessory
EC_116	accessory
EC_117	accessory
EC_118	accessory
EC_119	accessory
EC_120	accessory
EC_121	accessory
EC_122	accessory
EC_123	accessory
EC_124	accessory
EC_125	accessory
EC_126	accessory
EC_127	accessory
EC_128	accessory
EC_129	accessory
EC_130	accessory
EC_131	accessory
EC_132	accessory
EC_133	accessory
EC_134	accessory
EC_135	accessory
EC_136	accessory
EC_137	accessory
EC_138	accessory
EC_139	accessory
EC_140	accessory
EC_141	accessory
EC_142	accessory
EC_143	accessory
EC_144	accessory
EC_145	accessory
EC_146	accessory
EC_147	accessory
EC_148	accessory
EC_149	accessory
EC_150	accessory
EC_151	accessory
EC_152	accessory
EC_153	accessory
EC_154	accessory
EC_155	accessory
EC_156	accessory
EC_157	accessory
EC_158	accessory
EC_159	accessory
EC_160	accessory
EC_161	accessory
EC_162	accessory
EC_163	accessory
EC_164	accessory
EC_165	accessory
EC_166	accessory
EC_167	accessory
EC_168	accessory
EC_169	accessory
EC_170	accessory
EC_171	accessory
EC_172	accessory
EC_173	accessory
EC_174	accessory
EC_175	accessory
EC_176	accessory
EC_177	accessory
EC_178	accessory
EC_179	accessory
EC_180	accessory
EC_181	accessory
EC_182	accessory
EC_183	accessory
EC_184	accessory
EC_185	accessory
EC_186	accessory
EC_187	accessory
EC_188	accessory
EC_189	accessory
EC_190	accessory
EC_191	accessory
EC_192	accessory
EC_193	accessory
EC_194	accessory
EC_195	accessory
EC_196	accessory
EC_197	accessory
EC_198	accessory
EC_199	accessory
EC_200	accessory
EC_201	accessory
EC_202	accessory
EC_203	accessory
EC_204	accessory
EC_205	accessory
EC_206	accessory
EC_207	accessory
EC_208	accessory
EC_209	accessory
EC_210	accessory
EC_211	accessory
EC_212	accessory
EC_213	accessory
EC_214	accessory
EC_215	accessory
EC_216	accessory
EC_217	accessory
EC_218	accessory
EC_219	accessory
EC_220	accessory
EC_221	accessory
EC_222	accessory
EC_223	accessory
EC_224	accessory
EC_225	accessory
EC_226	accessory
EC_227	accessory
EC_228	accessory
EC_229	accessory
EC_230	accessory
EC_231	accessory
EC_232	accessory
EC_233	accessory
EC_234	accessory
EC_235	accessory
EC_236	accessory
EC_237	accessory
EC_238	accessory
EC_239	accessory
EC_240	accessory
EC_241	accessory
EC_242	accessory
EC_243	accessory
EC_244	accessory
EC_245	accessory
EC_246	accessory
EC_247	accessory
EC_248	accessory
EC_249	accessory
EC_250	accessory
EC_251	accessory
EC_252	accessory
EC_253	accessory
EC_254	accessory
EC_255	accessory
EC_256	accessory
EC_257	accessory
EC_258	accessory
EC_259	accessory
EC_260	accessory
EC_261	accessory
EC_262	accessory
EC_263	accessory
EC_264	accessory
EC_265	accessory
EC_266	accessory
EC_267	accessory
EC_268	accessory
EC_269	accessory
EC_270	accessory
EC_271	accessory
EC_272	accessory
EC_273	accessory
EC_274	accessory
EC_275	accessory
EC_276	accessory
EC_277	accessory
EC_278	accessory
EC_279	accessory
EC_280	accessory
EC_281	accessory
EC_282	accessory
EC_283	accessory
EC_284	accessory
EC_285	accessory
EC_286	accessory
EC_287	accessory
EC_288	accessory
EC_289	accessory
EC_290	accessory
EC_291	accessory
EC_292	accessory
EC_293	accessory
EC_294	accessory
EC_295	accessory
EC_296	accessory
EC_297	accessory
EC_298	accessory
EC_299	accessory
EC_300	accessory
EC_301	accessory
EC_302	accessory
EC_303	accessory
EC_304	accessory
EC_305	accessory
EC_306	accessory
EC_307	accessory
EC_308	accessory
EC_309	accessory
EC_310	accessory
EC_311	accessory
EC_312	accessory
EC_313	accessory
EC_314	accessory
EC_315	accessory
EC_316	accessory
EC_317	accessory
EC_318	accessory
EC_319	accessory
EC_320	accessory
EC_321	accessory
EC_322	accessory
EC_323	accessory
EC_324	accessory
EC_325	accessory
EC_326	accessory
EC_327	accessory
EC_328	accessory
EC_329	accessory
EC_330	accessory
EC_331	accessory
EC_332	accessory
EC_333	accessory
EC_334	accessory
EC_335	accessory
EC_336	accessory
EC_337	accessory
EC_338	accessory
EC_339	accessory
EC_340	accessory
EC_341	accessory
EC_342	accessory
EC_343	accessory
EC_344	accessory
EC_345	accessory
EC_346	accessory
EC_347	accessory
EC_348	accessory
EC_349	accessory
EC_350	accessory
EC_351	accessory
EC_352	accessory
EC_353	accessory
EC_354	accessory
EC_355	accessory
EC_356	accessory
EC_357	accessory
EC_358	accessory
EC_359	accessory
EC_360	accessory
EC_361	accessory
EC_362	accessory
EC_363	accessory
EC_364	accessory
EC_365	accessory
EC_366	accessory
EC_367	accessory
EC_368	accessory
EC_369	accessory
EC_370	accessory
EC_371	accessory
EC_372	accessory
EC_373	accessory
EC_374	accessory
EC_375	accessory
EC_376	accessory
EC_377	accessory
EC_378	accessory
EC_379	accessory
EC_380	accessory
EC_381	accessory
EC_382	accessory
EC_383	accessory
EC_384	accessory
EC_385	accessory
EC_386	accessory
EC_387	accessory
EC_388	accessory
EC_389	accessory
EC_390	accessory
EC_391	accessory
EC_392	accessory
EC_393	accessory
EC_394	accessory
EC_395	accessory
EC_396	accessory
EC_397	accessory
EC_398	accessory
EC_399	accessory
EC_400	accessory
EC_401	accessory
EC_402	accessory
EC_403	accessory
EC_404	accessory
EC_405	accessory
EC_406	accessory
EC_407	accessory
EC_408	accessory
EC_409	accessory
EC_410	accessory
EC_411	accessory
EC_412	accessory
EC_413	accessory
EC_414	accessory
EC_415	accessory
EC_416	accessory
EC_417	accessory
EC_418	accessory
EC_419	accessory
EC_420	accessory
EC_421	accessory
EC_422	accessory
EC_423	accessory
EC_424	accessory
EC_425	accessory
EC_426	accessory
EC_427	accessory
EC_428	accessory
EC_429	accessory
EC_430	accessory
EC_431	accessory
EC_432	accessory
EC_433	accessory
EC_434	accessory
EC_435	accessory
EC_436	accessory
EC_437	accessory
EC_438	accessory
EC_439	accessory
EC_440	accessory
EC_441	accessory
EC_442	accessory
EC_443	accessory
EC_444	accessory
EC_445	accessory
EC_446	accessory
EC_447	accessory
EC_448	accessory
EC_449	accessory
EC_450	accessory
EC_451	accessory
EC_452	accessory
EC_453	accessory
EC_454	accessory
EC_455	accessory
EC_456	accessory
EC_457	accessory
EC_458	accessory
EC_459	accessory
EC_460	accessory
EC_461	accessory
EC_462	accessory
EC_463	accessory
EC_464	accessory
EC_465	accessory
EC_466	accessory
EC_467	accessory
EC_468	accessory
EC_469	accessory
EC_470	accessory
EC_471	accessory
EC_472	accessory
EC_473	accessory
EC_474	accessory
EC_475	accessory
EC_476	accessory
EC_477	accessory
EC_478	accessory
EC_479	accessory
