ID	allele_type
EC00001	accessory
EC00002	accessory
EC00003	accessory
EC00004	accessory
EC00005	accessory
EC00006	accessory
EC00007	accessory
EC00008	accessory
EC00009	accessory
EC00010	accessory
EC00011	accessory
EC00013	accessory
EC00014	accessory
EC00020	accessory
EC00042	accessory
EC00043	accessory
EC00044	accessory
EC00045	accessory
EC00046	accessory
EC00049	accessory
EC00050	accessory
EC00055	accessory
EC00056	accessory
EC00057	accessory
EC00058	accessory
EC00059	accessory
EC00060	accessory
EC00061	accessory
EC00062	accessory
EC00063	accessory
EC00064	accessory
EC00065	accessory
EC00066	accessory
EC00067	accessory
EC00068	accessory
EC00069	accessory
EC00070	accessory
EC00071	accessory
EC00072	accessory
EC00073	accessory
EC00074	accessory
EC00106	accessory
EC00136	accessory
EC00137	accessory
EC00138	accessory
EC00139	accessory
EC00140	accessory
EC00141	accessory
EC00142	accessory
EC00143	accessory
EC00144	accessory
EC00145	accessory
EC00146	accessory
EC00147	accessory
EC00148	accessory
EC00149	accessory
EC00151	accessory
EC00152	accessory
EC00153	accessory
EC00154	accessory
EC00155	accessory
EC00156	accessory
EC00157	accessory
EC00158	accessory
EC00159	accessory
EC00160	accessory
EC00161	accessory
EC00162	accessory
EC00163	accessory
EC00164	accessory
EC00165	accessory
EC00166	accessory
EC00167	accessory
EC00168	accessory
EC00169	accessory
EC00170	accessory
EC00171	accessory
EC00172	accessory
EC00173	accessory
EC00174	accessory
EC00175	accessory
EC00176	accessory
EC00177	accessory
EC00180	accessory
EC00181	accessory
EC00182	accessory
EC00183	accessory
EC00184	accessory
EC00185	accessory
EC00186	accessory
EC00187	accessory
EC00206	accessory
EC00207	accessory
EC00208	accessory
EC00209	accessory
EC00210	accessory
EC00211	accessory
EC00212	accessory
EC00215	accessory
EC00216	accessory
EC00217	accessory
EC00218	accessory
EC00219	accessory
EC00220	accessory
EC00221	accessory
EC00222	accessory
EC00223	accessory
EC00224	accessory
EC00225	accessory
EC00226	accessory
EC00227	accessory
EC00228	accessory
EC00229	accessory
EC00230	accessory
EC00231	accessory
EC00232	accessory
EC00233	accessory
EC00234	accessory
EC00235	accessory
EC00236	accessory
EC00237	accessory
EC00238	accessory
EC00239	accessory
EC00240	accessory
EC00241	accessory
