ID	allele_type
VIBR_1	accessory
VIBR_2	core
VIBR_3	accessory
VIBR_4	accessory
VIBR_5	accessory
VIBR_6	accessory
VIBR_7	accessory
VIBR_8	accessory
VIBR_9	accessory
VIBR_10	accessory
VIBR_11	accessory
VIBR_12	accessory
VIBR_13	accessory
VIBR_14	accessory
VIBR_15	accessory
VIBR_16	accessory
VIBR_17	accessory
VIBR_18	accessory
VIBR_19	accessory
VIBR_20	accessory
VIBR_21	accessory
VIBR_22	accessory
VIBR_23	accessory
VIBR_24	accessory
VIBR_25	accessory
VIBR_26	accessory
VIBR_27	core
VIBR_28	accessory
VIBR_29	accessory
VIBR_30	accessory
VIBR_31	accessory
VIBR_32	accessory
VIBR_33	accessory
VIBR_34	accessory
VIBR_35	accessory
VIBR_36	accessory
VIBR_37	accessory
VIBR_38	accessory
VIBR_39	accessory
VIBR_40	accessory
VIBR_41	core
VIBR_42	core
VIBR_43	accessory
VIBR_44	accessory
VIBR_45	accessory
VIBR_46	accessory
VIBR_47	accessory
VIBR_48	accessory
VIBR_49	accessory
VIBR_50	accessory
VIBR_51	accessory
VIBR_52	accessory
VIBR_53	accessory
VIBR_54	accessory
VIBR_55	accessory
VIBR_56	accessory
VIBR_57	accessory
VIBR_58	accessory
VIBR_59	core
VIBR_60	accessory
VIBR_61	accessory
VIBR_62	accessory
VIBR_63	accessory
VIBR_64	accessory
VIBR_65	accessory
VIBR_66	accessory
VIBR_67	accessory
VIBR_68	accessory
VIBR_69	accessory
VIBR_70	accessory
VIBR_71	accessory
VIBR_72	accessory
VIBR_73	accessory
VIBR_74	accessory
VIBR_75	accessory
VIBR_76	accessory
VIBR_77	core
VIBR_78	accessory
VIBR_79	core
VIBR_80	accessory
VIBR_81	accessory
VIBR_82	accessory
VIBR_83	accessory
VIBR_84	accessory
VIBR_85	accessory
VIBR_86	accessory
VIBR_87	accessory
VIBR_88	core
VIBR_89	accessory
VIBR_90	accessory
VIBR_91	accessory
VIBR_92	accessory
VIBR_93	accessory
VIBR_94	accessory
VIBR_95	accessory
VIBR_96	accessory
VIBR_97	accessory
VIBR_98	accessory
VIBR_99	accessory
VIBR_100	accessory
VIBR_101	accessory
VIBR_102	accessory
VIBR_103	accessory
VIBR_104	accessory
VIBR_105	accessory
VIBR_106	core
VIBR_107	accessory
VIBR_108	core
VIBR_109	accessory
VIBR_110	accessory
VIBR_111	accessory
VIBR_112	accessory
VIBR_113	accessory
VIBR_114	accessory
VIBR_115	accessory
VIBR_116	accessory
VIBR_117	accessory
VIBR_118	accessory
VIBR_119	accessory
VIBR_120	accessory
VIBR_121	accessory
VIBR_122	accessory
VIBR_123	accessory
VIBR_124	accessory
VIBR_125	core
VIBR_126	accessory
VIBR_127	accessory
VIBR_128	core
VIBR_129	accessory
VIBR_130	accessory
VIBR_131	accessory
VIBR_132	core
VIBR_133	accessory
VIBR_134	accessory
VIBR_135	accessory
VIBR_136	accessory
VIBR_137	accessory
VIBR_138	accessory
VIBR_139	accessory
VIBR_140	accessory
VIBR_141	accessory
VIBR_142	accessory
VIBR_143	accessory
VIBR_144	accessory
VIBR_145	accessory
VIBR_146	accessory
VIBR_147	accessory
VIBR_148	accessory
VIBR_149	accessory
VIBR_150	accessory
VIBR_151	accessory
VIBR_152	accessory
VIBR_153	accessory
VIBR_154	accessory
VIBR_155	accessory
VIBR_156	core
VIBR_157	accessory
VIBR_158	accessory
VIBR_159	accessory
VIBR_160	accessory
VIBR_161	accessory
VIBR_162	accessory
VIBR_163	accessory
VIBR_164	accessory
VIBR_165	accessory
VIBR_166	accessory
VIBR_167	accessory
VIBR_168	accessory
VIBR_169	accessory
VIBR_170	accessory
VIBR_171	accessory
VIBR_172	accessory
VIBR_173	accessory
VIBR_174	accessory
VIBR_175	accessory
VIBR_176	accessory
VIBR_177	accessory
VIBR_178	accessory
VIBR_179	accessory
VIBR_180	accessory
VIBR_181	accessory
VIBR_182	accessory
VIBR_183	accessory
VIBR_184	accessory
VIBR_185	accessory
VIBR_186	accessory
VIBR_187	accessory
VIBR_188	accessory
VIBR_189	accessory
VIBR_190	accessory
VIBR_191	accessory
VIBR_192	accessory
VIBR_193	accessory
VIBR_194	core
VIBR_195	accessory
VIBR_196	accessory
VIBR_197	accessory
VIBR_198	accessory
VIBR_199	accessory
VIBR_200	accessory
VIBR_201	accessory
VIBR_202	core
VIBR_203	accessory
VIBR_204	accessory
VIBR_205	accessory
VIBR_206	accessory
VIBR_207	accessory
VIBR_208	accessory
VIBR_209	accessory
VIBR_210	accessory
VIBR_211	core
VIBR_212	accessory
VIBR_213	accessory
VIBR_214	accessory
VIBR_215	accessory
VIBR_216	accessory
VIBR_217	accessory
VIBR_218	accessory
VIBR_219	accessory
VIBR_220	accessory
VIBR_221	accessory
VIBR_222	accessory
VIBR_223	accessory
VIBR_224	accessory
VIBR_225	accessory
VIBR_226	core
VIBR_227	accessory
VIBR_228	accessory
VIBR_229	accessory
VIBR_230	accessory
VIBR_231	accessory
VIBR_232	accessory
VIBR_233	accessory
VIBR_234	accessory
VIBR_235	accessory
VIBR_236	core
VIBR_237	core
VIBR_238	accessory
VIBR_239	accessory
VIBR_240	accessory
VIBR_241	accessory
VIBR_242	core
VIBR_243	accessory
VIBR_244	accessory
VIBR_245	accessory
VIBR_246	accessory
VIBR_247	accessory
VIBR_248	accessory
VIBR_249	accessory
VIBR_250	accessory
VIBR_251	accessory
VIBR_252	accessory
VIBR_253	accessory
VIBR_254	accessory
VIBR_255	accessory
VIBR_256	accessory
VIBR_257	accessory
VIBR_258	accessory
VIBR_259	accessory
VIBR_260	accessory
VIBR_261	accessory
VIBR_262	accessory
VIBR_263	accessory
VIBR_264	accessory
VIBR_265	core
VIBR_266	accessory
VIBR_267	accessory
VIBR_268	accessory
VIBR_269	accessory
VIBR_270	accessory
VIBR_271	accessory
VIBR_272	accessory
VIBR_273	accessory
VIBR_274	core
VIBR_275	accessory
VIBR_276	accessory
VIBR_277	accessory
VIBR_278	accessory
VIBR_279	accessory
VIBR_280	accessory
VIBR_281	accessory
VIBR_282	accessory
VIBR_283	accessory
VIBR_284	accessory
VIBR_285	accessory
VIBR_286	accessory
VIBR_287	accessory
VIBR_288	accessory
VIBR_289	accessory
VIBR_290	accessory
VIBR_291	accessory
VIBR_292	accessory
VIBR_293	accessory
VIBR_294	accessory
VIBR_295	accessory
VIBR_296	accessory
VIBR_297	accessory
VIBR_298	accessory
VIBR_299	accessory
VIBR_300	accessory
VIBR_301	accessory
VIBR_302	core
VIBR_303	accessory
VIBR_304	accessory
VIBR_305	core
VIBR_306	accessory
VIBR_307	accessory
VIBR_308	accessory
VIBR_309	accessory
VIBR_310	accessory
VIBR_311	accessory
VIBR_312	accessory
VIBR_313	accessory
VIBR_314	accessory
VIBR_315	accessory
VIBR_316	accessory
VIBR_317	accessory
VIBR_318	accessory
VIBR_319	accessory
VIBR_320	accessory
VIBR_321	core
VIBR_322	accessory
VIBR_323	accessory
VIBR_324	accessory
VIBR_325	accessory
VIBR_326	accessory
VIBR_327	accessory
VIBR_328	accessory
VIBR_329	accessory
VIBR_330	accessory
VIBR_331	accessory
VIBR_332	accessory
VIBR_333	accessory
VIBR_334	accessory
VIBR_335	accessory
VIBR_336	accessory
VIBR_337	accessory
VIBR_338	accessory
VIBR_339	accessory
VIBR_340	accessory
VIBR_341	accessory
VIBR_342	accessory
VIBR_343	accessory
VIBR_344	accessory
VIBR_345	accessory
VIBR_346	accessory
VIBR_347	accessory
VIBR_348	accessory
VIBR_349	accessory
VIBR_350	accessory
VIBR_351	accessory
VIBR_352	accessory
VIBR_353	accessory
VIBR_354	accessory
VIBR_355	accessory
VIBR_356	accessory
VIBR_357	accessory
VIBR_358	accessory
VIBR_359	accessory
VIBR_360	accessory
VIBR_361	accessory
VIBR_362	accessory
VIBR_363	accessory
VIBR_364	core
VIBR_365	accessory
VIBR_366	accessory
VIBR_367	accessory
VIBR_368	accessory
VIBR_369	accessory
VIBR_370	accessory
VIBR_371	accessory
VIBR_372	accessory
VIBR_373	accessory
